equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled,sunk
Armoured Personnel Carriers,BTR-70,,the Soviet Union,32,,,,11.0,1.0,5.0,,,,15.0,,
Armoured Personnel Carriers,BTR-70M,,Ukraine,8,,2.0,,1.0,,,,,,5.0,,
Armoured Personnel Carriers,BTR-7,,Ukraine,23,,,,15.0,,,,,,8.0,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,117,,,,32.0,,1.0,1.0,1.0,,82.0,,
Armoured Personnel Carriers,BTR-80M,,Ukraine,2,,,,2.0,,,,,,,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,2,,,,1.0,,,,,,1.0,,
Armoured Personnel Carriers,GT-MU AFV converted to APC,,the Soviet Union,1,,,,1.0,,,,,,,,
Armoured Personnel Carriers,Unknown BTR,,Ukraine,3,,,,,,,,,,3.0,,
Armoured Personnel Carriers,Puma 6x6,,Italy,1,,,,,,,,,,1.0,,
Armoured Personnel Carriers,YPR-765,,the Netherlands,77,,4.0,,5.0,,8.0,4.0,,,56.0,,
Armoured Personnel Carriers,M113,,the United States,127,,6.0,,13.0,,10.0,17.0,1.0,,80.0,,
Armoured Personnel Carriers,M113AS4,,Australia,5,,,,1.0,,,,,,4.0,,
Armoured Personnel Carriers,M113G3DK/G4DK,,Denmark,9,,3.0,,,,1.0,,,,5.0,,
Armoured Personnel Carriers,FV103 Spartan,,the United Kingdom,14,,,,1.0,,2.0,,,,11.0,,
Armoured Personnel Carriers,FV104 Samaritan,,the United Kingdom,1,,,,1.0,,,,,,,,
Armoured Personnel Carriers,VAB,,France,21,,,,,,2.0,4.0,,,15.0,,
Armoured Personnel Carriers,Sisu XA-185,,Finland,10,,1.0,,1.0,,1.0,2.0,,,5.0,,
Armoured Personnel Carriers,M1126 Stryker,,the United States,11,,,,,,1.0,1.0,,,9.0,,
Armoured Personnel Carriers,Bandvagn BvS 10,,the Netherlands,2,,,,,,,,,,2.0,,
Armoured Personnel Carriers,LAV Super Bison,,Canada,1,,,,,,,,,,1.0,,
Mine-Resistant Ambush Protected,Vepr,,Ukraine,1,,,,1.0,,,,,,,,
Mine-Resistant Ambush Protected,KrAZ-MPV Shrek One,,Ukraine,2,,,,1.0,,,,,,1.0,,
Mine-Resistant Ambush Protected,KrAZ-Forpost,,Ukraine,1,,,,,,,,,,1.0,,
Mine-Resistant Ambush Protected,Alvis 4 'Mamba',,the United Kingdom,4,,,,1.0,,1.0,,,,2.0,,
Mine-Resistant Ambush Protected,Mastiff Protected Patrol,,the United Kingdom,30,,2.0,,1.0,,5.0,1.0,2.0,,19.0,,
Mine-Resistant Ambush Protected,Wolfhound Protected Patrol,,the United Kingdom,5,,,,,,,,,,5.0,,
Mine-Resistant Ambush Protected,Bushmaster Protected Mobility Vehicle,,Australia,16,,,,,,4.0,,,,12.0,,
Mine-Resistant Ambush Protected,International M1224 MaxxPro,,the United States,98,,5.0,,2.0,,14.0,2.0,,,75.0,,
Mine-Resistant Ambush Protected,Oshkosh M-ATV,,the United States,23,,,,1.0,,1.0,4.0,,,17.0,,
Mine-Resistant Ambush Protected,BATT UMG,,the United States,1,,,,,,1.0,,,,,,
Mine-Resistant Ambush Protected,ATF Dingo,,Germany,7,,,,,,1.0,,,,6.0,,
Mine-Resistant Ambush Protected,BMC Kirpi,,Turkey,30,,1.0,,1.0,,5.0,1.0,1.0,,21.0,,
Infantry Mobility Vehicles,KrAZ Cobra,,Ukraine,14,,,,5.0,,1.0,,,,8.0,,
Infantry Mobility Vehicles,KrAZ Cougar,,Ukraine,6,,,,4.0,,,,,,2.0,,
Infantry Mobility Vehicles,KrAZ Spartan,,Ukraine,11,,,,1.0,,,,,,10.0,,
Infantry Mobility Vehicles,Novator,,Ukraine,20,,,,5.0,,4.0,,,,11.0,,
Infantry Mobility Vehicles,Varta,,Ukraine,36,,,,24.0,,2.0,,,,10.0,,
Infantry Mobility Vehicles,Kozak-2,,Ukraine,59,,,,18.0,,,,1.0,,40.0,,
Infantry Mobility Vehicles,Kozak-2M1,,Ukraine,36,,,,7.0,,2.0,3.0,,,24.0,,
Infantry Mobility Vehicles,Kozak-5,,Ukraine,3,,,,1.0,,,,,,2.0,,
Infantry Mobility Vehicles,Kozak-7,,Ukraine,15,,,,,,1.0,5.0,,,9.0,,
Infantry Mobility Vehicles,Triton-1,,Ukraine,3,,,,3.0,,,,,,,,
Infantry Mobility Vehicles,M1114 and M1151 HMMWV,,the United States,100,,1.0,,7.0,,12.0,3.0,4.0,,73.0,,
Infantry Mobility Vehicles,M1152 HMMWV,,the United States,21,,,,,,,,,,21.0,,
Infantry Mobility Vehicles,M998 HMMWV,,the United States,18,,,,12.0,,1.0,,1.0,,4.0,,
Infantry Mobility Vehicles,M1165 HMMWV,,the United States,10,,,,1.0,,1.0,,,,8.0,,
Infantry Mobility Vehicles,M1123 HMMWV,,the United States,2,,,,,,,,,,2.0,,
Infantry Mobility Vehicles,HMMWV Ambulance,,the United States,15,,,,5.0,,2.0,,3.0,,5.0,,
Infantry Mobility Vehicles,Unknown HMMWV variant,,the United States,16,,,,1.0,,1.0,,,,14.0,,
Infantry Mobility Vehicles,M1117,,the United States,2,,,,,,,,,,2.0,,
Infantry Mobility Vehicles,AT105A Saxon,,the United Kingdom,14,,,,8.0,,,,,,6.0,,
Infantry Mobility Vehicles,Husky Tactical Support Vehicle,,the United Kingdom,21,,1.0,,2.0,,4.0,1.0,,,13.0,,
Infantry Mobility Vehicles,Iveco LMV,,Italy,13,,,,,,2.0,1.0,,,10.0,,
Infantry Mobility Vehicles,MLS Shield,,Italy,3,,,,,,2.0,,,,1.0,,
Infantry Mobility Vehicles,INKAS Titan-S,,the United Arab Emirates,3,,,,,,,,,,3.0,,
Infantry Mobility Vehicles,Panthera T6,,the United Arab Emirates,3,,,,1.0,,,,,,2.0,,
Infantry Mobility Vehicles,Roshel Senator,,Canada,18,,,,2.0,1.0,4.0,3.0,,,8.0,,
Infantry Mobility Vehicles,AMZ Dzik-2,,Poland,2,,,,,,,,1.0,,1.0,,
Infantry Mobility Vehicles,Oncilla,,Poland,2,,,,,,,,,,2.0,,
Infantry Mobility Vehicles,Coyote tactical support vehicle,,the United Kingdom,1,,,,1.0,,,,,,,,
Infantry Mobility Vehicles,GAIA AMIR,,Israel,1,,,,,,1.0,,,,,,
Infantry Mobility Vehicles,LC-79 APC-SH Fighter 2,,the United Kingdom,1,,,,,,,,,,1.0,,
Infantry Mobility Vehicles,Unknown IMV,,Ukraine,8,,,,,,1.0,,,,7.0,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,
Command Posts And Communications Stations,K1Sh1 command and staff vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,
Command Posts And Communications Stations,R-142N command and staff vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,BTR-70DI-02 'Svityaz' command and staff vehicle,,Ukraine,1,,,,1.0,,,,,,,,
Command Posts And Communications Stations,R-145BM command vehicle,,the Soviet Union,3,,,,1.0,,,,,,2.0,,
Command Posts And Communications Stations,BTR-60PU-12 air defence command vehicle,,the Soviet Union,3,,,,1.0,,,,,,2.0,,
Command Posts And Communications Stations,R-409A radio station vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-405M radio station vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-845 radio station,,the Soviet Union,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,ZiL-131-based KShM KUNG command vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,Radio relay station for the TB2 UCAV,,Turkey,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,Control station for the TB2 UCAV,,Turkey,2,,,,,,,,,,2.0,,
Command Posts And Communications Stations,SkyGuard Aspide control station,,Italy,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,IMR-2 combat engineering vehicle,,the Soviet Union,12,,,,1.0,,,1.0,,,10.0,,
Engineering Vehicles And Equipment,BMR-2 mine-clearing tank,,the Soviet Union,1,,1.0,,,,,,,,,,
Engineering Vehicles And Equipment,UR-77 Meteorit,,the Soviet Union,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,T-64 mine-clearing tank,,Ukraine,3,,,,1.0,,,1.0,,,1.0,,
Engineering Vehicles And Equipment,Leopard 2R mine-clearing tank,,Finland,3,,,,,,2.0,,,,1.0,,
Engineering Vehicles And Equipment,Wisent 1 mine-clearing tank,,Germany,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,4,,,,1.0,,,,1.0,,2.0,,
Engineering Vehicles And Equipment,MT-T multi-purpose tracked transporter,,the Soviet Union,1,,,,,,1.0,,,,,,
Engineering Vehicles And Equipment,IRM 'Zhuk' engineer reconnaissance vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,
Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,
Engineering Vehicles And Equipment,RKhM 'Kashalot',,the Soviet Union,6,,,,2.0,,1.0,,1.0,,2.0,,
Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,3,,,,,,,,,,3.0,,
Engineering Vehicles And Equipment,BTS-4A armoured recovery vehicle,,the Soviet Union,11,,1.0,,2.0,,,2.0,,,6.0,,
Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,8,,1.0,,1.0,,2.0,1.0,,,3.0,,
Engineering Vehicles And Equipment,M88A1 armoured recovery vehicle,,the United States,3,,,,1.0,,,,,,2.0,,
Engineering Vehicles And Equipment,M1150 Assault Breacher,,the United States,2,,,,,,,,,,2.0,,
Engineering Vehicles And Equipment,Bergepanzer 2 armoured recovery vehicle,,Germany,1,,,,,,1.0,,,,,,
Engineering Vehicles And Equipment,Bergepanzer 3 armoured recovery vehicle,,Germany,3,,,,,,,,,,3.0,,
Engineering Vehicles And Equipment,Ural-4320 KET-L recovery vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,M1132 Stryker Engineering Squad Vehicle,,the United States,5,,,,,,,,,,5.0,,
Engineering Vehicles And Equipment,M58 MICLIC mine clearing system,,the United States,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,MTO-AT mobile workshop,,the Soviet Union,4,,,,1.0,,,,,,3.0,,
Engineering Vehicles And Equipment,PTS-2  tracked amphibious transport,,the Soviet Union,1,,,,1.0,,,,,,,,
Engineering Vehicles And Equipment,TMM-3M1 bridge layer,,Ukraine,1,,,,1.0,,,,,,,,
Engineering Vehicles And Equipment,EOV-4421 excavator,,the Soviet Union,5,,,,1.0,,,,,,4.0,,
Engineering Vehicles And Equipment,KrAZ-255B with KS-3575 crane,,the Soviet Union,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,KrAZ-6322 Master mobile workshop,,the Soviet Union,1,,,,1.0,,,,,,,,
Engineering Vehicles And Equipment,5I57(A) diesel power plant or 63T6A converter,,the Soviet Union,4,,,,,,,,,,4.0,,
Engineering Vehicles And Equipment,GMZ-3 minelayer,,the Soviet Union,4,,,,2.0,,1.0,,,,1.0,,
Engineering Vehicles And Equipment,PZM-2 trench-digging vehicle,,the Soviet Union,3,,,,,,1.0,,,,2.0,,
Engineering Vehicles And Equipment,UMP-350 engine heater,,the Soviet Union,1,,,,1.0,,,,,,,,
Engineering Vehicles And Equipment,ARS-14 decontamination and degassing vehicle,,the Soviet Union,3,,,,3.0,,,,,,,,
Engineering Vehicles And Equipment,Ural-4320 KT-L recovery vehicle,,the Soviet Union,5,,,,,,,,,,5.0,,
Engineering Vehicles And Equipment,BMK-460 towing and motor boat,,the Soviet Union,2,,,,,,2.0,,,,,,
Engineering Vehicles And Equipment,TDA-M mobile smoke generator,,the Soviet Union,3,,,,,,,,,,3.0,,
Engineering Vehicles And Equipment,AK-04-9A 'Porosha' airfield air conditioner based on KamAZ-5320,,the Soviet Union,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,River link pontoon (for PMP(-M) floating bridge system),,the Soviet Union,36,,,,1.0,,8.0,,,,27.0,,
Engineering Vehicles And Equipment,KrAZ-255 (for PMP floating bridge system),,the Soviet Union,14,,,,2.0,,2.0,,,,10.0,,
Engineering Vehicles And Equipment,Coastal link pontoon (for PMP(-M) floating bridge system),,the Soviet Union,5,,,,,,,,,,5.0,,
Unmanned Ground Vehicles,THeMIS UGV,,Estonia,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Tank Missile Systems,9P148 Konkurs ATGM carrier,,the Soviet Union,15,,1.0,,8.0,,,,,,6.0,,
Self-Propelled Anti-Tank Missile Systems,9P149 Shturm-S ATGM carrier,,the Soviet Union,3,,,,1.0,,,,1.0,,1.0,,
Artillery Support Vehicles And Equipment,1V13 battery command and forward observer vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,
Artillery Support Vehicles And Equipment,1V14 battery command and forward observer vehicle,,the Soviet Union,8,,,,1.0,,,,,,7.0,,
Artillery Support Vehicles And Equipment,1V15 battery command and forward observer vehicle,,the Soviet Union,4,,,,4.0,,,,,,,,
Artillery Support Vehicles And Equipment,1V16M artillery battalion command and staff vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,
Artillery Support Vehicles And Equipment,1V18 'Klyon-1' artillery command and forward observer vehicle,,the Soviet Union,8,,,,8.0,,,,,,,,
Artillery Support Vehicles And Equipment,9T452 transporter-loader (for BM-27 'Uragan' MRL),,the Soviet Union,2,,,,,,,,,,2.0,,
Towed Artillery,100mm BS-3 anti-tank gun,,the Soviet Union,3,,,,2.0,,,,,,1.0,,
Towed Artillery,100mm MT-12 anti-tank gun,,the Soviet Union,23,,,,11.0,,5.0,,,,7.0,,
Towed Artillery,105mm L119 howitzer,,the United Kingdom,4,,,,,,3.0,,,,1.0,,
Towed Artillery,105mm OTO Melara Mod 56 pack howitzer,,Italy,1,,,,,,,,,,1.0,,
Towed Artillery,120mm 2B16 Nona-K gun mortar,,the Soviet Union,1,,,,,,,,,,1.0,,
Towed Artillery,122mm D-30 howitzer,,the Soviet Union,14,,,,2.0,,3.0,,,,9.0,,
Towed Artillery,130mm M-46 field gun,,the Soviet Union,1,,,,,,1.0,,,,,,
Towed Artillery,152mm D-20 gun-howitzer,,the Soviet Union,12,,,,1.0,,2.0,,,,9.0,,
Towed Artillery,152mm 2A36 Giatsint-B field-gun,,the Soviet Union,16,,,9.0,1.0,,3.0,,,,3.0,,
Towed Artillery,152mm 2A65 Msta-B howitzer,,the Soviet Union,7,,2.0,,1.0,,2.0,,,,2.0,,
Towed Artillery,155mm FH-70 howitzer,,Estonia,5,,,,,,3.0,,,,2.0,,
Towed Artillery,155mm TRF1 howitzer,,France,1,,,,,,,,,,1.0,,
Towed Artillery,155mm M777A2 howitzer,,the United States,94,,,,,,43.0,,,,51.0,,
Towed Artillery,Unknown towed artillery,,Ukraine,29,,,,,,8.0,,,,21.0,,
Self-Propelled Artillery,120mm Bars-8MMK,,Ukraine,2,,,,,,,,,,2.0,,
Self-Propelled Artillery,120mm BTR-3M2,,Ukraine,3,,,,2.0,,,,,,1.0,,
Self-Propelled Artillery,120mm 2S9 Nona,,the Soviet Union,5,,,,,,,,,,5.0,,
Self-Propelled Artillery,120mm BRM-1K with 2S9 Nona turret,,the Soviet Union,2,,,,,,,,,,2.0,,
Self-Propelled Artillery,120mm М1064А3,,the United States,4,,,,1.0,,,,,,3.0,,
Self-Propelled Artillery,120mm Alakran,,Spain,2,,,,,,,,,,2.0,,
Self-Propelled Artillery,120mm M120K 'Rak',,Poland,1,,,,,,,,,,1.0,,
Self-Propelled Artillery,122mm 2S1 Gvozdika,,the Soviet Union,125,,,,13.0,,16.0,,,,96.0,,
Self-Propelled Artillery,152mm 2S3 Akatsiya,,the Soviet Union,44,,,,4.0,,8.0,,,,32.0,,
Self-Propelled Artillery,152mm 2S5 Giatsint-S,,the Soviet Union,3,,,,2.0,,,,,,1.0,,
Self-Propelled Artillery,152mm 2S19 Msta-S,,the Soviet Union,5,,,,,,3.0,,,,2.0,,
Self-Propelled Artillery,155mm M109A3/A4/A5/A6/L,,Norway,64,,,,,,16.0,,,,48.0,,
Self-Propelled Artillery,155mm AHS Krab,,Poland,32,,,,,,6.0,,,,26.0,,
Self-Propelled Artillery,155mm ShKH Zuzana 2,,Slovakia,3,,,,,,1.0,,,,2.0,,
Self-Propelled Artillery,155mm Caesar 6x6,,France,7,,,,,,3.0,,,,4.0,,
Self-Propelled Artillery,155mm Caesar 8x8,,France,1,,,,,,,,,,1.0,,
Self-Propelled Artillery,155mm Panzerhaubitze 2000,,Germany,1,,,,,,1.0,,,,,,
Self-Propelled Artillery,152mm ShKH vz. 77 DANA,,the Czech Republic,5,,,,,,4.0,,,,1.0,,
Self-Propelled Artillery,155mm AS-90,,the United Kingdom,11,,,,,,5.0,,,,6.0,,
Self-Propelled Artillery,155mm 2S22 'Bohdana' 3.0,,Ukraine,4,,,,,,1.0,,,,3.0,,
Self-Propelled Artillery,155mm Archer Artillery Systems,,Sweden,1,,,,,,1.0,,,,,,
Self-Propelled Artillery,203mm 2S7 Pion,,the Soviet Union,12,,,,1.0,,5.0,,1.0,,5.0,,
Self-Propelled Artillery,Unknown SPG,,Ukraine,29,,,,,,2.0,,,,27.0,,
Multiple Rocket Launchers,80mm B-8 makeshift MRL,,Ukraine,1,,,,,,,,,,1.0,,
Multiple Rocket Launchers,122mm BM-21 Grad,,the Soviet Union,51,,,,4.0,,12.0,,,,35.0,,
Multiple Rocket Launchers,122mm Bastion-1,,Ukraine,1,,,,,,,,,,1.0,,
Multiple Rocket Launchers,220mm BM-27 Uragan,,the Soviet Union,8,,,,5.0,,,,,,3.0,,
Multiple Rocket Launchers,220mm Bureviy,,Ukraine,1,,,,,,,,,,1.0,,
Multiple Rocket Launchers,122mm RM-70,,the Czech Republic,5,,,,,,2.0,,,,3.0,,
Multiple Rocket Launchers,227mm M142 HIMARS,,the United States,3,,,,,,2.0,,,,1.0,,
Multiple Rocket Launchers,HMMWV with MRLS,,the United States,3,,,,,,,,,,3.0,,
Multiple Rocket Launchers,Unknown MRLS,,Ukraine,1,,,,,,,,,,1.0,,
Anti-Aircraft Guns,23mm ZU-23,,the Soviet Union,3,,,,3.0,,,,,,,,
Anti-Aircraft Guns,23mm 23 ItK 61,,Finland,1,,,,1.0,,,,,,,,
Self-Propelled Anti-Aircraft Guns,BTR-ZD Skrezhet,,the Soviet Union,1,,,,,1.0,,,,,,,
Self-Propelled Anti-Aircraft Guns,ZSU-23-4 Shilka,,the Soviet Union,5,,1.0,,2.0,,1.0,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,2K22M Tunguska-M,,the Soviet Union,4,,,,1.0,,1.0,,,,2.0,,
Self-Propelled Anti-Aircraft Guns,Ural-4320 with Zu-23-2,,the Soviet Union,2,,,,,,,,,,2.0,,
Self-Propelled Anti-Aircraft Guns,GAZ-66 with Zu-23-2,,the Soviet Union,4,,,,,,1.0,,,,3.0,,
Self-Propelled Anti-Aircraft Guns,ZiL-131 with Zu-23-2,,the Soviet Union,2,,,,,,,,,,2.0,,
Self-Propelled Anti-Aircraft Guns,KrAZ-6322 with S-60,,the Soviet Union,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,DAF YAD 4442 NT with Zu-23-2 AA gun,,the Netherlands,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,DAF YAD 4442 NT with Zastava M75 AA gun,,the Netherlands,1,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,20,,,,3.0,,4.0,,,,13.0,,
Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,29,,1.0,,,,4.0,,,,24.0,,
Surface-To-Air Missile Systems,Stormer HVM,,the United Kingdom,3,,,,,,3.0,,,,,,
Surface-To-Air Missile Systems,9A310M1 TELAR (for Buk-M1),,the Soviet Union,17,,,,1.0,,4.0,,,,12.0,,
Surface-To-Air Missile Systems,9A39M1 TEL (for Buk-M1),,the Soviet Union,5,,,,,,,,,,5.0,,
Surface-To-Air Missile Systems,9A330 Tor TLAR (for 9K330 Tor),,the Soviet Union,1,,,,,,1.0,,,,,,
Surface-To-Air Missile Systems,5P851A (Launcher for S-300PT-1A),,the Soviet Union,31,,,,,,,,,,31.0,,
Surface-To-Air Missile Systems,5P85D (launcher for S-300PS),,the Soviet Union,2,,,,1.0,,,,,,1.0,,
Surface-To-Air Missile Systems,5P85S (launcher for S-300PS),,the Soviet Union,20,,,,1.0,,1.0,,,,18.0,,
Surface-To-Air Missile Systems,5P85D/S (launcher for S-300PS),,the Soviet Union,22,,,,,,1.0,,,,21.0,,
