equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,defected and captured,destroyed,destroyed in a non-combat related incident,sunk
Tanks,T-54-3M,,the Soviet Union,2,,,,,,,1.0,,,,1.0,,
Tanks,T-54B,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-55A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,Unknown T-54/55,,the Soviet Union,5,,,,,,,2.0,,,,3.0,,
Tanks,T-62 Obr. 1967,,the Soviet Union,3,,,1.0,,,,,,,,2.0,,
Tanks,T-62 Obr. 1972,,the Soviet Union,2,1.0,,,,,,,,,,1.0,,
Tanks,T-62M,,the Soviet Union,93,1.0,,29.0,,,8.0,5.0,5.0,,,45.0,,
Tanks,T-62M Obr. 2022,,Russia,14,2.0,,,,,2.0,,,,,10.0,,
Tanks,T-62MV,,the Soviet Union,27,1.0,,9.0,,,1.0,3.0,1.0,,,12.0,,
Tanks,T-62MV Obr. 2022,,Russia,9,,,,,,1.0,4.0,,,,4.0,,
Tanks,Unknown T-62,,Russia,13,2.0,,,,,,1.0,,,,10.0,,
Tanks,T-64A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,T-64BV,,the Soviet Union,88,2.0,,2.0,,1.0,10.0,4.0,1.0,,,68.0,,
Tanks,T-64BVK,,the Soviet Union,2,,,,,,,,,,,2.0,,
Tanks,T-72 'Ural',,the Soviet Union,4,1.0,,,,,,1.0,,,,2.0,,
Tanks,T-72A,,the Soviet Union,44,1.0,,9.0,1.0,,1.0,6.0,,,,26.0,,
Tanks,T-72AV,,the Soviet Union,21,,,3.0,,,,2.0,1.0,,,15.0,,
Tanks,T-72B,,the Soviet Union,349,16.0,,59.0,3.0,,8.0,13.0,6.0,,,244.0,,
Tanks,T-72B Obr. 1989,,the Soviet Union,106,4.0,1.0,15.0,1.0,1.0,4.0,9.0,3.0,,,68.0,,
Tanks,T-72B Obr. 2022,,Russia,104,8.0,,1.0,,,3.0,23.0,,,,69.0,,
Tanks,T-72BA,,Russia,30,,,14.0,,,2.0,,1.0,,,13.0,,
Tanks,T-72B3,,Russia,368,6.0,,66.0,2.0,,25.0,19.0,10.0,,,240.0,,
Tanks,T-72B3 Obr. 2014,,Russia,3,,,1.0,,,,,,,,2.0,,
Tanks,T-72B3 Obr. 2016,,Russia,276,4.0,3.0,94.0,,,6.0,4.0,11.0,,,154.0,,
Tanks,T-72B3 Obr. 2022,,Russia,56,1.0,,,,,3.0,7.0,,,,45.0,,
Tanks,Unknown T-72,,Russia,150,5.0,,3.0,,,16.0,7.0,,,,119.0,,
Tanks,T-80B,,the Soviet Union,4,,,,,,,1.0,,,,3.0,,
Tanks,T-80BV,,the Soviet Union,573,13.0,1.0,68.0,1.0,2.0,20.0,55.0,7.0,,,406.0,,
Tanks,T-80BVK,,the Soviet Union,4,,,1.0,,,,,,,,3.0,,
Tanks,T-80BV Obr. 2022,,Russia,36,,,,,,,3.0,,,,33.0,,
Tanks,T-80U,,Russia,98,5.0,3.0,39.0,,2.0,1.0,1.0,5.0,,,42.0,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,,
Tanks,T-80UE-1,,Russia,7,,,4.0,,,,,,,,3.0,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,,1.0,,
Tanks,T-80BVM,,Russia,125,,,26.0,1.0,1.0,7.0,9.0,4.0,,,77.0,,
Tanks,T-80BVM Obr. 2022,,Russia,24,,,,,,,5.0,,,,19.0,,
Tanks,Unknown T-80,,Russia,21,1.0,,2.0,,,2.0,5.0,,,,11.0,,
Tanks,T-90A,,Russia,40,1.0,1.0,10.0,1.0,,,2.0,,,,25.0,,
Tanks,T-90AK,,Russia,1,,,1.0,,,,,,,,,,
Tanks,T-90S,,Russia,10,,,,,,,1.0,,,,9.0,,
Tanks,T-90M,,Russia,100,3.0,,5.0,,,14.0,25.0,,,,53.0,,
Tanks,Unknown tank,,Russia,397,23.0,,,,,21.0,39.0,,,,314.0,,
Armoured Fighting Vehicles,BMPT Terminator,,Russia,3,,,,,,2.0,,,,,1.0,,
Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,,the Soviet Union,29,1.0,,9.0,,,1.0,1.0,,,,17.0,,
Armoured Fighting Vehicles,BRM-1K Obr. 2021,,Russia,2,,,1.0,,,,,,,,1.0,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,5,,,1.0,,,,,,,,4.0,,
Armoured Fighting Vehicles,BRDM-2M/A,,Russia,3,,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,4,,,2.0,,,,,,,,2.0,,
Armoured Fighting Vehicles,BRDM-2-based ZS-82 PsyOps vehicle,,the Soviet Union,2,,,1.0,,,,,,,,1.0,,
Armoured Fighting Vehicles,BTR-80-based ZS-88 PsyOps vehicle,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BTR-80 with 57mm UB-32 unguided aircraft rocket pods,,the Soviet Union,1,,,,,,1.0,,,,,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,884,44.0,,137.0,1.0,,18.0,30.0,6.0,,,648.0,,
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,207,8.0,,91.0,,,1.0,1.0,3.0,,,103.0,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,45,,,11.0,,,1.0,,,,,33.0,,
Armoured Fighting Vehicles,MT-LBVMK with ZU-23 AA gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LB With 14.5mm BPU-1 Turret,,the Soviet Union,3,,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,MT-LB with 14.5mm 2M-7 naval gun mount,,the Soviet Union,1,,,1.0,,,,,,,,,,
Armoured Fighting Vehicles,MT-LB with AZP S-60 AA gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LB with 100mm MT-12 anti-tank gun,,the Soviet Union,3,,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,MT-LB with 82-mm automatic mortar 2B9 Vasilek,,the Soviet Union,2,,,,,,1.0,,,,,1.0,,
Armoured Fighting Vehicles,MT-LB with 25mm 2M-3 naval gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,17,1.0,,3.0,,,,,,,,13.0,,
Armoured Fighting Vehicles,MT-LBu with 57mm S-60,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LBu with 100mm MT-12 anti-tank gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,Vityaz DT-10PM articulated tracked carrier,,Russia,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,4,,,1.0,,,,,2.0,,,1.0,,
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,3,,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,,,1.0,,,,,,,,,,
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,10,,,,,,,,,,,10.0,,
Armoured Fighting Vehicles,BMM-80 ambulance,,the Soviet Union,2,,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,Unknown AFV,,Russia,223,8.0,,1.0,,,10.0,5.0,,,,199.0,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,778,23.0,,84.0,1.0,,29.0,64.0,9.0,,,568.0,,
Infantry Fighting Vehicles,BMP-1AM,,Russia,49,3.0,,5.0,1.0,,4.0,2.0,3.0,,,31.0,,
Infantry Fighting Vehicles,BMP-1 675-sb3KDZ,,Russia,22,,,,,,,3.0,,,,19.0,,
Infantry Fighting Vehicles,BMP-1U 'Shkval',,Ukraine,3,,,,,,1.0,,,,,2.0,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,1322,43.0,,215.0,1.0,,35.0,70.0,23.0,,,935.0,,
Infantry Fighting Vehicles,BMP-2(K),with ZU-23 cannon,the Soviet Union,1,,,,,,,,,,,1.0,,
Infantry Fighting Vehicles,BMP-2D,,the Soviet Union,17,,,5.0,,,,,,,,12.0,,
Infantry Fighting Vehicles,BMP-2M Berezhok,,Russia,37,1.0,,7.0,,,2.0,3.0,1.0,,,23.0,,
Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,,Russia,136,,,1.0,,,2.0,20.0,1.0,,,112.0,,
Infantry Fighting Vehicles,BMP-2M 675-sb3KDZ,,Russia,7,,,,,,,,,,,7.0,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,198,8.0,,,,,4.0,9.0,,,,177.0,,
Infantry Fighting Vehicles,BMP-3,,Russia,349,15.0,,48.0,,,21.0,18.0,5.0,,,242.0,,
Infantry Fighting Vehicles,BMP-3 Obr. 2020,,Russia,37,,,10.0,,,,3.0,3.0,,,21.0,,
Infantry Fighting Vehicles,BMP-3 688A-sb6-2KP,,Russia,115,5.0,,1.0,,,3.0,13.0,,,,93.0,,
Infantry Fighting Vehicles,BMP-3 4S24 NKDZ,,Russia,1,,,,,,,,,,,1.0,,
Infantry Fighting Vehicles,MT-LBM 6MB,,Russia,15,1.0,,2.0,,,2.0,,1.0,,,9.0,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,279,6.0,,49.0,,2.0,7.0,7.0,3.0,,,205.0,,
Infantry Fighting Vehicles,BMD-2,with RP-337VM1 jammer,the Soviet Union,2,,,1.0,,,,,,,,1.0,,
Infantry Fighting Vehicles,BMD-2,with RP-377VM1 jammer,the Soviet Union,1,,,1.0,,,,,,,,,,
Infantry Fighting Vehicles,BMD-4M,,Russia,121,,,9.0,,,5.0,2.0,2.0,,,103.0,,
Infantry Fighting Vehicles,Unknown BMP-3 or BMD-4M,,Russia,1,,,,,,,,,,,1.0,,
Infantry Fighting Vehicles,BTR-82A(M),,Russia,655,10.0,,107.0,,1.0,28.0,19.0,6.0,,,484.0,,
Infantry Fighting Vehicles,BTR-82AT,,Russia,130,2.0,,14.0,,,4.0,5.0,,,,105.0,,
Armoured Personnel Carriers,BTR-50,,the Soviet Union,5,,,,,,,1.0,,,,4.0,,
Armoured Personnel Carriers,BTR-50 with BPU-1 turret,,the Soviet Union,4,1.0,,,,,,1.0,,,,2.0,,
Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,1,,,,,,1.0,,,,,,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,7,,,1.0,,,1.0,,,,,5.0,,
Armoured Personnel Carriers,BTR-70M,,Russia,8,,,1.0,,,,,,,,7.0,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,219,8.0,,55.0,,,4.0,7.0,2.0,,,143.0,,
Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,,Russia,63,1.0,,,,,7.0,2.0,,,,53.0,,
Armoured Personnel Carriers,Remdiesel Z-STS Akhmat,,Russia,16,,,1.0,,,2.0,2.0,,,,11.0,,
Armoured Personnel Carriers,Ural-VV,,Russia,5,,,1.0,,,,,,,,4.0,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,88,5.0,,20.0,1.0,,1.0,1.0,2.0,,,58.0,,
Armoured Personnel Carriers,BTR-MDM Rakushka,,Russia,42,1.0,,8.0,,,3.0,1.0,,,,29.0,,
Armoured Personnel Carriers,Plastun-SN,,Russia,1,,,,,,,,,,,1.0,,
Armoured Personnel Carriers,BMO-T,,Russia,4,,,1.0,,,,,,,,3.0,,
Mine-Resistant Ambush Protected,KamAZ-63968 Typhoon,,Russia,28,,,5.0,,,2.0,1.0,1.0,,,19.0,,
Mine-Resistant Ambush Protected,KamAZ-435029 Patrol-A,,Russia,3,,,,,,1.0,,,,,2.0,,
Mine-Resistant Ambush Protected,K-53949 Typhoon-K,,Russia,11,,,1.0,,,,,,,,10.0,,
Mine-Resistant Ambush Protected,K-53949 Linza,,Russia,13,,,3.0,,,1.0,,1.0,,,8.0,,
Mine-Resistant Ambush Protected,ZSA-Т Armoured Ambulance,,Russia,1,,,,,,1.0,,,,,,,
Infantry Mobility Vehicles,BPM-97 Vystrel,,Russia,5,,,3.0,,,,,,,,2.0,,
Infantry Mobility Vehicles,GAZ Tigr,,Russia,15,1.0,,7.0,,,,,,,,7.0,,
Infantry Mobility Vehicles,GAZ Tigr-M,,Russia,165,,,30.0,,,7.0,,2.0,,,126.0,,
Infantry Mobility Vehicles,GAZ Tigr-M,with Arbalet-DM turret,Russia,10,,,1.0,,,,,,,,9.0,,
Infantry Mobility Vehicles,AMN-590951,,Russia,24,1.0,,3.0,,,4.0,1.0,,,,15.0,,
Infantry Mobility Vehicles,Iveco LMV Rys,,Italy,34,,1.0,1.0,,,3.0,,4.0,,,25.0,,
Infantry Mobility Vehicles,GAZ-39371 'Vodnik',,Russia,2,,,2.0,,,,,,,,,,
Infantry Mobility Vehicles,KamAZ Patrol,,Russia,1,,,,,,,,,,,1.0,,
Infantry Mobility Vehicles,Unknown IMV,,Russia,2,,,,,,,,,,,2.0,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,12,,,5.0,,,,,,,,7.0,,
Command Posts And Communications Stations,BMD-1KSh-A command vehicle,,the Soviet Union,12,,,4.0,,,,,,,,8.0,,
Command Posts And Communications Stations,BTR-60PU-12command vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,
Command Posts And Communications Stations,R-145BM command vehicle,,the Soviet Union,2,,,1.0,,,,,,,,1.0,,
Command Posts And Communications Stations,R-145BM1 command vehicle,,the Soviet Union,8,,,1.0,,,,,,,,7.0,,
Command Posts And Communications Stations,9S470M1 command vehicle for Buk-M1,,the Soviet Union,1,,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-145BMA command vehicle,,Russia,1,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-142NSA command and signals vehicle,,the Soviet Union,2,,,,,,,,,,,2.0,,
Command Posts And Communications Stations,R-149MA1 command and staff vehicle,,Russia,83,1.0,,27.0,,,2.0,1.0,2.0,,,50.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,,Russia,39,,,19.0,,,,,4.0,,,16.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-337VM1 jammer,Russia,1,,,,,,,,,,,1.0,,
Command Posts And Communications Stations,APE-5 command post,,Russia,6,,,,,,,,,,,6.0,,
Command Posts And Communications Stations,MSh-5350.1 command vehicle,,Russia,2,,,1.0,,,,,,,,1.0,,
Command Posts And Communications Stations,9S470M1 (or variant thereof) command post (for Buk-M1/2),,Russia,2,,,1.0,,,,,,,,1.0,,
Command Posts And Communications Stations,Barnaul-T 9С932-1 automated system for air defence units,,Russia,7,,,4.0,,,,,,,,3.0,,
Command Posts And Communications Stations,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",,Russia,1,,,1.0,,,,,,,,,,
Command Posts And Communications Stations,Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,,Russia,1,,,,,,,,,,,1.0,,
Command Posts And Communications Stations,55K6A command post for S-400,,Russia,2,,,,,,,,,,,2.0,,
Command Posts And Communications Stations,R-149AKSh-1 command and signals vehicle,,Russia,21,,,1.0,,,2.0,,,,,18.0,,
Command Posts And Communications Stations,R-149BMRg command and signals vehicle,,Russia,3,,,1.0,,,,,,,,2.0,,
Command Posts And Communications Stations,R-161 signals vehicle,,Russia,1,,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-166-0.5 signals vehicle,,Russia,24,,,6.0,,,,,,,,18.0,,
Command Posts And Communications Stations,P-240 digital communications vehicle,,Russia,1,,,,,,,,,,,1.0,,
