Title,Salary,Location,Employment Type,Link
Системний адміністратор ІТ (без досвіду),30 000 - 40 000 грн. / за місяць,Хмельницький,Хмельницький,https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-t-bez-dosvdu-IDVnMQ8.html
"майстер по ремонту телефонів, планшетів, ноутбуків.",30 000 - 45 000 грн. / за місяць,"Львів, Шевченківський","Львів, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-po-remontu-telefonv-planshetv-noutbukv-IDUxHhw.html
"Робота! БЕЗ ДОСВІДУ! Оператор 1 С, комп""ютерного набору, Чернівці",13 000 - 13 500 грн. / за місяць,Чернівці,Чернівці,https://www.olx.ua/uk/obyavlenie/rabota/robota-bez-dosvdu-operator-1-s-komp-yuternogo-naboru-chernvts-IDNDn4X.html
Відкрита вакансія IT спеціаліст,17 000 - 23 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/vdkrita-vakansya-it-spetsalst-IDVOq7C.html
Майстер з ремонту кондиціонерів (кондиціонерщик),50 000 - 100 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-konditsonerv-konditsonerschik-IDUUKxV.html
"Програміст на C++ (Arduino IDE), ESP32, IoT.",400 - 800 грн. / за годину,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/programst-na-c-arduino-ide-esp32-iot-IDVHW23.html
"Junior Front-end developer (не дистанційно, Київ)",21 000 - 28 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/junior-front-end-developer-ne-distantsyno-kiv-IDVbW5L.html
Выездной Компьютерный Мастер,35 000 - 37 000 грн. / за місяць,Полтава,Полтава,https://www.olx.ua/uk/obyavlenie/rabota/vyezdnoy-kompyuternyy-master-IDTZvD0.html
Junior Web-дизайнера,22 000 грн. / за місяць,"Київ, Дніпровський","Київ, Дніпровський",https://www.olx.ua/uk/obyavlenie/rabota/junior-web-dizaynera-IDVGwYp.html
Junior QA Manual / Automation Engineer,25 000 - 40 000 грн. / за місяць,"Київ, Дарницький","Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/rabota/junior-qa-manual-automation-engineer-IDVFcNv.html
Комп'ютерний майстер,35 000 - 40 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/kompyuterniy-mayster-IDVHkJV.html
Работа бренд-менеджер. Админ сервисного центра,10 000 - 21 000 грн. / за місяць,"Харків, Шевченківський","Харків, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/rabota-brend-menedzher-admin-servisnogo-tsentra-IDImE4e.html
Комп'ютерний майстер. Сервіс інженер,35 000 - 45 000 грн. / за місяць,Хмельницький,Хмельницький,https://www.olx.ua/uk/obyavlenie/rabota/kompyuterniy-mayster-servs-nzhener-IDVGQzL.html
Senior ML Engineer | Remote,80 000 - 100 000 грн. / за місяць,Чернівці,Чернівці,https://www.olx.ua/uk/obyavlenie/rabota/senior-ml-engineer-remote-IDVH1gB.html
На роботу потрібен майстер з ремонту телефонів ( переклейщик),25 000 - 30 000 грн. / за місяць,Чернівці,Чернівці,https://www.olx.ua/uk/obyavlenie/rabota/na-robotu-potrben-mayster-z-remontu-telefonv-perekleyschik-IDUAkkE.html
Вакансія рекрутера — потрібні відповідальні люди,20 000 - 30 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/vakansya-rekrutera-potrbn-vdpovdaln-lyudi-IDVKYjH.html
Провідний майстер з ремонту техніки (мультибренд),40 000 - 60 000 грн. / за місяць,"Львів, Шевченківський","Львів, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/provdniy-mayster-z-remontu-tehnki-multibrend-IDVHdZ4.html
Помічник ASO-спеціаліста(без досвіду),500 - 501 $ / за місяць,Сміла,Сміла,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-aso-spetsalstabez-dosvdu-IDVOTUA.html
"Junior HTML-верстальник (Київ, не дистанційно)",20 000 - 24 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/junior-html-verstalnik-kiv-ne-distantsyno-IDVa0gp.html
"Мастер телефонов , планшетов , ноутбуков. Одесса , Таирова.",40 000 - 80 000 грн. / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/master-telefonov-planshetov-noutbukov-odessa-tairova-IDVE8zf.html
Програміст 1С,20 000 грн. / за місяць,Кременчук,Кременчук,https://www.olx.ua/uk/obyavlenie/rabota/programst-1s-IDVI7uw.html
Помічник інженера ВОЛЗ,,Васильків,Васильків,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-nzhenera-volz-IDOh1KT.html
"Системний адміністратор у ""Порядний Газда""",1 - 2 грн. / за годину,Мукачево,Мукачево,https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-u-poryadniy-gazda-IDVF0qW.html
Друкар цифрового друку,25 000 - 25 500 грн. / за місяць,"Дніпро, Соборний","Дніпро, Соборний",https://www.olx.ua/uk/obyavlenie/rabota/drukar-tsifrovogo-druku-IDVEJNk.html
Приглашаем на работу мастера по ремонту ПК и Ноутбуков,10 000 - 40 000 грн. / за місяць,"Харків, Салтівський","Харків, Салтівський",https://www.olx.ua/uk/obyavlenie/rabota/priglashaem-na-rabotu-mastera-po-remontu-pk-i-noutbukov-IDVCRoi.html
"Пропоную роботу електронщику, електрику чи помічнику електрика",15 000 - 25 000 грн. / за місяць,Березне,Березне,https://www.olx.ua/uk/obyavlenie/rabota/proponuyu-robotu-elektronschiku-elektriku-chi-pomchniku-elektrika-IDWmTGn.html
"Мастер по ремонту ноутбуков, телевизоров, телемастер, компьютеров",10 000 - 18 000 грн. / за місяць,"Київ, Оболонський","Київ, Оболонський",https://www.olx.ua/uk/obyavlenie/rabota/master-po-remontu-noutbukov-televizorov-telemaster-kompyuterov-IDV82HM.html
"Ремонт кавомашин,кавоварок та ішої побутової техніки",15 000 - 30 000 грн. / за місяць,Луцьк,Луцьк,https://www.olx.ua/uk/obyavlenie/rabota/remont-kavomashin-kavovarok-ta-sho-pobutovo-tehnki-IDRfmjR.html
Майстер з ремонту кондиціонерів (кондиціонерщик),50 000 - 100 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-konditsonerv-konditsonerschik-IDUUKxV.html
Необхiдний технiчний спецiалiст з ремонту,30 000 - 60 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/neobhidniy-tehnichniy-spetsialist-z-remontu-IDVmx7n.html
"Оператор комп'ютерного набору, оператор 1С, Мукачево",12 000 - 12 100 грн. / за місяць,Мукачево,Мукачево,https://www.olx.ua/uk/obyavlenie/rabota/operator-kompyuternogo-naboru-operator-1s-mukachevo-IDJicak.html
Збиральник комп'ютерів,25 000 - 30 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/zbiralnik-kompyuterv-IDVD1TQ.html
QA-спеціаліст (з навчанням),22 000 - 32 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/qa-spetsalst-z-navchannyam-IDVkpBg.html
Тестировщик игр в компьютерный клуб,27 000 - 32 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/testirovschik-igr-v-kompyuternyy-klub-IDVEY3R.html
Аналітик спортивних подій,28 000 - 34 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/analtik-sportivnih-pody-IDVD1HZ.html
ТЕРМІНОВО! Шукаємо Системного адміністратора.,25 000 - 49 000 грн. / за місяць,Полтава,Полтава,https://www.olx.ua/uk/obyavlenie/rabota/termnovo-shukamo-sistemnogo-admnstratora-IDVDw5t.html
Програміст Junior Frontend Developer /Intern,400 - 500 $ / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/programst-junior-frontend-developer-intern-IDVk00y.html
Junior QA Engineer,20 000 - 35 000 грн. / за місяць,"Київ, Святошинський","Київ, Святошинський",https://www.olx.ua/uk/obyavlenie/rabota/junior-qa-engineer-IDVEfkQ.html
Предлагаю сотрудничество.,5 000 - 50 000 грн. / за місяць,"Дніпро, Соборний","Дніпро, Соборний",https://www.olx.ua/uk/obyavlenie/rabota/predlagayu-sotrudnichestvo-IDUOr4D.html
Моушн дизайнер (з навчанням),28 000 - 34 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/moushn-dizayner-z-navchannyam-IDVD26K.html
Оператор ПК (з навчанням),26 000 - 28 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/operator-pk-z-navchannyam-IDVo5nL.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Кривий Ріг, Саксаганський","Кривий Ріг, Саксаганський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
"Шукаємо на посаду Програміст, web-дизайнер (PR, SEO, SM)",15 000 - 30 000 грн. / за місяць,"Київ, Дарницький","Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-na-posadu-programst-web-dizayner-pr-seo-sm-IDNusow.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Харків, Шевченківський","Харків, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDUh0bQ.html
Тестувальник (без досвіду),30 000 - 32 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-bez-dosvdu-IDV7LeZ.html
Молодший графічний дизайнер,27 000 - 28 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/molodshiy-grafchniy-dizayner-IDVD18F.html
Оператор ПК (стажер),26 000 - 32 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/operator-pk-stazher-IDWety9.html
Продавець-консультант,14 500 - 20 000 грн. / за місяць,"Харків, Шевченківський","Харків, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/prodavets-konsultant-IDVaNyn.html
Работа World of Warcraft,4 000 - 20 000 грн. / за місяць,"Харків, Слобідський","Харків, Слобідський",https://www.olx.ua/uk/obyavlenie/rabota/rabota-world-of-warcraft-IDVlqkA.html
Project Manager Trainee,21 300 - 25 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/project-manager-trainee-IDV6itY.html
Junior Front-End Developer,29 000 - 35 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/junior-front-end-developer-IDWetKE.html
Адміністратор кіберспортивного клубу,12 000 - 22 000 грн. / за місяць,"Одеса, Приморський","Одеса, Приморський",https://www.olx.ua/uk/obyavlenie/rabota/admnstrator-kbersportivnogo-klubu-IDVosFp.html
Junior Web-дизайнера,25 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/junior-web-dizaynera-IDVEGrW.html
Потрібен працівник в команду фото-копі-центр,16 000 - 30 000 грн. / за місяць,"Київ, Оболонський","Київ, Оболонський",https://www.olx.ua/uk/obyavlenie/rabota/potrben-pratsvnik-v-komandu-foto-kop-tsentr-IDUGnay.html
Майстр по ремонту принтерів та ПК,20 000 - 25 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/maystr-po-remontu-printerv-ta-pk-IDVdl5O.html
Провідний майстер з ремонту техніки (мультибренд),40 000 - 60 000 грн. / за місяць,"Львів, Шевченківський","Львів, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/provdniy-mayster-z-remontu-tehnki-multibrend-IDVHdZ4.html
Терміново потрібен ІТ спеціаліст,80 000 - 100 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-potrben-t-spetsalst-IDVHL4H.html
Помічник системного адміністратора,30 000 - 33 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-sistemnogo-admnstratora-IDV78c5.html
Web-дизайнер (Trainee / Junior),23 000 - 33 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/web-dizayner-trainee-junior-IDWTLrB.html
Системний адміністратор у ПК клуб,17 000 - 24 000 грн. / за місяць,Біла Церква,Біла Церква,https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-u-pk-klub-IDVDx23.html
Технік-монтажник із підключення інтернету,18 000 - 24 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/tehnk-montazhnik-z-pdklyuchennya-nternetu-IDVEVWD.html
Дата-аналітик (Стажер),25 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/data-analtik-stazher-IDVEqFd.html
UI/UX Designer (Стажер),28 000 - 30 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/ui-ux-designer-stazher-IDWdcrV.html
Шукаємо IT-фахівця,45 000 - 50 000 грн. / за місяць,"Дніпро, Соборний","Дніпро, Соборний",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-it-fahvtsya-IDVEGOH.html
Виїзний Комп’ютерній Майстер,33 000 - 37 000 грн. / за місяць,Чернівці,Чернівці,https://www.olx.ua/uk/obyavlenie/rabota/vizniy-kompyuterny-mayster-IDUhmKz.html
Trainee JavaScript Developer,700 $ / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-javascript-developer-IDVE7io.html
Технік-монтажник із підключення інтернету,10 000 - 20 000 грн. / за місяць,"Харків, Слобідський","Харків, Слобідський",https://www.olx.ua/uk/obyavlenie/rabota/tehnk-montazhnik-z-pdklyuchennya-nternetu-IDVEF5q.html
Администратор социальных сетей,27 000 - 51 000 грн. / за місяць,Нікополь,Нікополь,https://www.olx.ua/uk/obyavlenie/rabota/administrator-sotsialnyh-setey-IDVQ8OZ.html
Оператори в комп'ютерний клуб(м.Запоріжжя),12 500 - 17 000 грн. / за місяць,"Запоріжжя, Вознесенівський","Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/rabota/operatori-v-kompyuterniy-klubm-zaporzhzhya-IDWjgDh.html
Помічник ASO-спеціаліста(без досвіду),500 - 501 $ / за місяць,Сміла,Сміла,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-aso-spetsalstabez-dosvdu-IDVOTUA.html
"Сервисный центр ""Spike service""",,"Запоріжжя, Дніпровський","Запоріжжя, Дніпровський",https://www.olx.ua/uk/obyavlenie/rabota/servisnyy-tsentr-spike-service-IDUK7YW.html
Заправщик картриджей,19 000 - 20 000 грн. / за місяць,"Київ, Дарницький","Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/rabota/zapravschik-kartridzhey-IDVo6pl.html
Майстер з ремонту мобільних телефонів,12 000 - 20 000 грн. / за місяць,Ковель,Ковель,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-moblnih-telefonv-IDVoHMP.html
Middle Node.js/MongoDB Engineer,4 000 - 5 000 $ / за місяць,"Львів, Франківський","Львів, Франківський",https://www.olx.ua/uk/obyavlenie/rabota/middle-node-js-mongodb-engineer-IDVE0Vm.html
Системний адміністратор,25 000 - 30 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDWaSkZ.html
Комп'ютерний Майстер. Сервіс-інженер,35 000 - 40 000 грн. / за місяць,Гожули,Гожули,https://www.olx.ua/uk/obyavlenie/rabota/kompyuterniy-mayster-servs-nzhener-IDVD70p.html
