Title,Salary,Location,Employment_Type,Working_hours,Suitable_candidates,Payment_type,Experience,With_accommodation,Is_executive,Link
Тестирование мобильной игры на ios,200 - 600 грн. / за час,"Киев, Голосеевский",Подработка,Гибкий график,"Подходит кандидатам: Младше 18 лет, Студентам",,,False,False,https://www.olx.ua/obyavlenie/rabota/testirovanie-mobilnoy-igry-na-ios-IDVKuYN.html
"HTML-верстальник (без досвіду, з навчанням)",25 000 - 35 000 грн. / за месяц,"Киев, Печерский",Полная занятость,Полный рабочий день,"Подходит кандидатам: Младше 18 лет, Студентам",,,False,False,https://www.olx.ua/obyavlenie/rabota/html-verstalnik-bez-dosvdu-z-navchannyam-IDVitST.html
Требуется монтажер видео в Capcut,14 000 - 18 000 грн. / за месяц,"Харьков, Холодногорский",Удаленная работа,Гибкий график,Подходит кандидатам: C инвалидностью,,,False,False,https://www.olx.ua/obyavlenie/rabota/trebuetsya-montazher-video-v-capcut-IDVKuPX.html
Майстер з ремонту кондиціонерів (кондиціонерщик),50 000 - 100 000 грн. / за месяц,"Киев, Шевченковский",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-konditsonerv-konditsonerschik-IDUUKxV.html
Інженер сервісний (на власному авто),24 000 - 30 000 грн. / за месяц,"Киев, Подольский",Полная занятость,Гибкий график,"Подходит кандидатам: Старше 45 лет, C инвалидностью, Пенсионного возраста, Студентам, Со статусом УБД",,,False,False,https://www.olx.ua/obyavlenie/rabota/nzhener-servsniy-na-vlasnomu-avto-IDVPhFf.html
Майстер по ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Киев, Соломенский",Полная занятость,Гибкий график,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-po-remontu-kompyuterno-tehnki-IDTwi7S.html
Ищем тестировщиков для пк игр,10 000 - 15 000 грн. / за месяц,"Одесса, Приморский",Удаленная работа,Гибкий график,"Подходит кандидатам: В декрете, Пенсионного возраста, Студентам, C инвалидностью",,,False,False,https://www.olx.ua/obyavlenie/rabota/ischem-testirovschikov-dlya-pk-igr-IDVOBYn.html
Контент менеджер,1 000 - 5 000 грн. / за месяц,Черкассы,Подработка,Гибкий график,"Подходит кандидатам: Старше 45 лет, Студентам, Младше 18 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/kontent-menedzher-IDVR0Ey.html
Оператор обліку (1С),,"Днепр, Соборный",Полная занятость,Полный рабочий день,Подходит кандидатам: Старше 45 лет,,,False,False,https://www.olx.ua/obyavlenie/rabota/operator-oblku-1s-IDVP09i.html
Терміново Системний Адміністратор,30 000 - 50 000 грн. / за месяц,Умань,Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPdkR.html
Оператори в комп'ютерний клуб(м.Запоріжжя),12 500 - 17 000 грн. / за месяц,"Запорожье, Вознесеновский",Полная занятость,Сменный график,"Подходит кандидатам: В декрете, Студентам",,,False,False,https://www.olx.ua/obyavlenie/rabota/operatori-v-kompyuterniy-klubm-zaporzhzhya-IDWjgDh.html
Монтажник локальних мереж,20 000 - 24 000 грн. / за месяц,Нетешин,Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/montazhnik-lokalnih-merezh-IDUOd8b.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Одесса, Приморский",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTmvjB.html
"Робота! БЕЗ ДОСВІДУ! Оператор 1 С, комп""ютерного набору, Чернівці",13 000 - 13 500 грн. / за месяц,Черновцы,Полная занятость,Полный рабочий день,"Подходит кандидатам: Студентам, В декрете",,,False,False,https://www.olx.ua/obyavlenie/rabota/robota-bez-dosvdu-operator-1-s-komp-yuternogo-naboru-chernvts-IDNDn4X.html
Монтажник слаботочных систем (электротехник),18 000 - 32 000 грн. / за месяц,"Одесса, Киевский",Частичная занятость,Гибкий график,,,,False,False,https://www.olx.ua/obyavlenie/rabota/montazhnik-slabotochnyh-sistem-elektrotehnik-IDVMgbD.html
Необхiдний технiчний спецiалiст з ремонту,30 000 - 60 000 грн. / за месяц,"Киев, Подольский",Полная занятость,Гибкий график,,,,False,False,https://www.olx.ua/obyavlenie/rabota/neobhidniy-tehnichniy-spetsialist-z-remontu-IDVmx7n.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Одесса, Приморский",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTmvjB.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Днепр, Центральный",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTna38.html
Терміново Системний адміністратор,30 000 - 40 000 грн. / за месяц,"Кропивницкий, Фортечный",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPNyT.html
"Trainee Software Developer (Київ, не дистанційно)",22 000 - 27 000 грн. / за месяц,"Киев, Оболонский",Полная занятость,Полный рабочий день,Подходит кандидатам: Студентам,,,False,False,https://www.olx.ua/obyavlenie/rabota/trainee-software-developer-kiv-ne-distantsyno-IDUQMjH.html
"Оператор комп'ютерного набору, оператор 1С, Мукачево",12 000 - 12 100 грн. / за месяц,Мукачево,Полная занятость,Полный рабочий день,Подходит кандидатам: Студентам,,,False,False,https://www.olx.ua/obyavlenie/rabota/operator-kompyuternogo-naboru-operator-1s-mukachevo-IDJicak.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Запорожье, Вознесеновский",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDWBVQf.html
Терміново потрібен ІТ спеціаліст,80 000 - 100 000 грн. / за месяц,"Днепр, Центральный",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/termnovo-potrben-t-spetsalst-IDVHL4H.html
Запрошуємо майстрів з ремонту комп'ютерів – заробіток до 80 000 грн на,40 000 - 80 000 грн. / за месяц,"Львов, Галицкий",Полная занятость,Гибкий график,"Подходит кандидатам: В декрете, C инвалидностью, Младше 18 лет, Пенсионного возраста, Студентам, Старше 45 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/zaproshumo-maystrv-z-remontu-kompyuterv-zarobtok-do-80-000-grn-na-IDVFZJV.html
Інженер сервісний (на власному авто),24 000 - 30 000 грн. / за месяц,"Киев, Подольский",Полная занятость,Гибкий график,"Подходит кандидатам: Старше 45 лет, C инвалидностью, Пенсионного возраста, Студентам, Со статусом УБД",,,False,False,https://www.olx.ua/obyavlenie/rabota/nzhener-servsniy-na-vlasnomu-avto-IDVPhFf.html
"Майстер з ремонту телевізорів та комп’ютерної техніки, інженер (СЦ)",20 000 - 48 000 грн. / за месяц,"Днепр, Центральный",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-televzorv-ta-kompyuterno-tehnki-nzhener-sts-IDTn4Cm.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Харьков, Шевченковский",Полная занятость,Гибкий график,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDUh0bQ.html
Системний адміністратор супермаркету,16 000 - 17 000 грн. / за месяц,Никополь,Полная занятость,Полный рабочий день,"Подходит кандидатам: Старше 45 лет, C инвалидностью, Студентам",,,False,False,https://www.olx.ua/obyavlenie/rabota/sistemniy-admnstrator-supermarketu-IDVLcCj.html
Майстр по ремонту принтерів та ПК,20 000 - 25 000 грн. / за месяц,"Кривой Рог, Центрально-Городской",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/maystr-po-remontu-printerv-ta-pk-IDVdl5O.html
Оператори в комп'ютерний клуб(м.Запоріжжя),12 500 - 17 000 грн. / за місяць,"Запоріжжя, Вознесенівський",Повна зайнятість,Позмінний графік,"Підходить кандидатам: В декреті, Студентам",,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/operatori-v-kompyuterniy-klubm-zaporzhzhya-IDWjgDh.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Кривий Ріг, Саксаганський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Від 1 до 3 років,False,False,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
Trainee python developer,28 000 грн. / за місяць,"Київ, Печерський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,"Досвід роботи: Від 1 до 3 років, Без досвіду роботи",False,False,https://www.olx.ua/uk/obyavlenie/rabota/trainee-python-developer-IDVPGop.html
Помічник розробника сайтів,24 000 - 28 000 грн. / за місяць,"Київ, Печерський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-rozrobnika-saytv-IDVqbDl.html
QA-спеціаліст (з навчанням),22 000 - 32 000 грн. / за місяць,"Київ, Подільський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/qa-spetsalst-z-navchannyam-IDVkpBg.html
Trainee Front-end develoepr,23 000 - 26 000 грн. / за місяць,"Київ, Голосіївський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-develoepr-IDVdm1V.html
Молодший дизайнер UX UI,22 000 - 25 000 грн. / за місяць,"Київ, Солом'янський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Молодше 18 років,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/molodshiy-dizayner-ux-ui-IDVHRfy.html
UI/UX designer (стажер),29 000 - 34 000 грн. / за місяць,"Київ, Шевченківський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/ui-ux-designer-stazher-IDVIibv.html
Trainee Python-developer,24 000 - 27 000 грн. / за місяць,"Київ, Голосіївський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/trainee-python-developer-IDVdkYr.html
Junior Cloud Specialist (з навчанням),24 000 - 27 000 грн. / за місяць,"Київ, Шевченківський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/junior-cloud-specialist-z-navchannyam-IDVsS0b.html
Junior front-end developer,35 000 - 45 000 грн. / за місяць,"Київ, Печерський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/junior-front-end-developer-IDWY5Hv.html
Тестировщик игр в компьютерный клуб,27 000 - 32 000 грн. / за місяць,"Київ, Голосіївський",Повна зайнятість,Повний робочий день,"Підходить кандидатам: Молодше 18 років, Студентам",,"Досвід роботи: Без досвіду роботи, Від 1 до 3 років",False,False,https://www.olx.ua/uk/obyavlenie/rabota/testirovschik-igr-v-kompyuternyy-klub-IDVEY3R.html
Потрібна людина на прийняття техніки на ремонт,10 000 - 20 000 грн. / за місяць,"Житомир, Центр",Повна зайнятість,Гнучкий графік,"Підходить кандидатам: З інвалідністю, Студентам, Молодше 18 років",,"Досвід роботи: Від 1 до 3 років, Без досвіду роботи",False,False,https://www.olx.ua/uk/obyavlenie/rabota/potrbna-lyudina-na-priynyattya-tehnki-na-remont-IDW5mJS.html
Терміново Системний адміністратор,30 000 - 40 000 грн. / за місяць,"Кропивницький, Фортечний",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPNyT.html
"Оператор комп'ютерного набору, оператор 1С, Мукачево",12 000 - 12 100 грн. / за місяць,Мукачево,Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,"Досвід роботи: Без досвіду роботи, Від 1 до 3 років, Від 3 до 6 років",False,False,https://www.olx.ua/uk/obyavlenie/rabota/operator-kompyuternogo-naboru-operator-1s-mukachevo-IDJicak.html
Вакансія рекрутера — потрібні відповідальні люди,20 000 - 30 000 грн. / за місяць,Чернігів,Повна зайнятість,Гнучкий графік,"Підходить кандидатам: Студентам, Молодше 18 років, Зі статусом УБД",,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/vakansya-rekrutera-potrbn-vdpovdaln-lyudi-IDVKYjH.html
Молодший системний адміністратор,26 000 - 32 000 грн. / за місяць,"Київ, Подільський",Повна зайнятість,Повний робочий день,"Підходить кандидатам: Молодше 18 років, Студентам",,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/molodshiy-sistemniy-admnstrator-IDVeUrn.html
Шукаємо Photoshop Дизайнера,8 000 грн. / за місяць,Ходосівка,Повна зайнятість,Гнучкий графік,Підходить кандидатам: Студентам,,"Досвід роботи: Без досвіду роботи, Від 1 до 3 років",False,False,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-photoshop-dizaynera-IDVNu6c.html
Пошук майстрів ремонту компʼютерів,15 000 - 50 000 грн. / за місяць,"Київ, Шевченківський",Часткова зайнятість,Гнучкий графік,,,,False,False,https://www.olx.ua/uk/obyavlenie/rabota/poshuk-maystrv-remontu-kompyuterv-IDVGFMD.html
ТЕРМІНОВО! Шукаємо Системного адміністратора.,25 000 - 49 000 грн. / за місяць,Полтава,Повна зайнятість,Повний робочий день,"Підходить кандидатам: Студентам, В декреті",,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/termnovo-shukamo-sistemnogo-admnstratora-IDVDw5t.html
Робота Адміністратор у VR,12 000 - 20 000 грн. / за місяць,Рівне,Повна зайнятість,Гнучкий графік,"Підходить кандидатам: Студентам, Молодше 18 років",,Досвід роботи: Без досвіду роботи,False,True,https://www.olx.ua/uk/obyavlenie/rabota/robota-admnstrator-u-vr-IDVJe3o.html
Оператор комп'ютера на оптову базу,12 000 - 12 001 грн. / за місяць,Херсон,Повна зайнятість,Повний робочий день,,,Досвід роботи: Від 1 до 3 років,False,False,https://www.olx.ua/uk/obyavlenie/rabota/operator-kompyutera-na-optovu-bazu-IDVLbew.html
Гравець-тестувальник (стажер),30 000 - 35 000 грн. / за місяць,"Київ, Печерський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/gravets-testuvalnik-stazher-IDWddlx.html
работа по обслуживанию ПК.,40 000 - 50 000 грн. / за місяць,"Київ, Солом'янський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/rabota-po-obsluzhivaniyu-pk-IDV9TGL.html
Тестувальника ігор,15 000 - 25 000 грн. / за місяць,"Дніпро, Центральний",Повна зайнятість,Гнучкий графік,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/testuvalnika-gor-IDVIUgJ.html
Требуються програмисты PHP/ C++/ python/ C#/ JS/HTML,40 000 - 50 000 грн. / за місяць,"Київ, Оболонський",Підробіток,Гнучкий графік,"Підходить кандидатам: Старше 45 років, Студентам, Молодше 18 років",,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/trebuyutsya-programisty-php-c-python-c-js-html-IDVKnXP.html
Запрошуємо майстрів з ремонту комп'ютерів – заробіток до 80 000 грн на,40 000 - 80 000 грн. / за місяць,"Львів, Галицький",Повна зайнятість,Гнучкий графік,"Підходить кандидатам: В декреті, З інвалідністю, Молодше 18 років, Пенсійного віку, Студентам, Старше 45 років",,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/zaproshumo-maystrv-z-remontu-kompyuterv-zarobtok-do-80-000-grn-na-IDVFZJV.html
Необхiдний технiчний спецiалiст з ремонту,30 000 - 60 000 грн. / за місяць,"Київ, Подільський",Повна зайнятість,Гнучкий графік,,,,False,False,https://www.olx.ua/uk/obyavlenie/rabota/neobhidniy-tehnichniy-spetsialist-z-remontu-IDVmx7n.html
"Шукаємо на посаду Програміст, web-дизайнер (PR, SEO, SM)",15 000 - 30 000 грн. / за місяць,"Київ, Дарницький",Часткова зайнятість,Неповний робочий день,"Підходить кандидатам: Старше 45 років, Студентам, З інвалідністю, В декреті",,"Досвід роботи: Без досвіду роботи, Від 1 до 3 років",False,False,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-na-posadu-programst-web-dizayner-pr-seo-sm-IDNusow.html
Збиральник Ігрових ПК,25 000 - 27 000 грн. / за місяць,"Київ, Подільський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/zbiralnik-grovih-pk-IDVKVEK.html
Тестувальник ігор,15 000 - 25 000 грн. / за місяць,"Львів, Личаківський",Часткова зайнятість,Гнучкий графік,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-gor-IDVhExY.html
Програміст Junior Frontend Developer /Intern,400 - 500 $ / за місяць,"Київ, Голосіївський",Повна зайнятість,Повний робочий день,"Підходить кандидатам: Старше 45 років, Студентам, З інвалідністю, В декреті, Пенсійного віку, Зі статусом УБД",,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/programst-junior-frontend-developer-intern-IDVk00y.html
Trainee Front-End Developer,25 000 - 28 000 грн. / за місяць,"Київ, Солом'янський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-developer-IDVKrli.html
Шукаємо графічного дизайнера,400 $ / за місяць,"Одеса, Приморський",Часткова зайнятість,Гнучкий графік,"Підходить кандидатам: З інвалідністю, Студентам, В декреті",,"Досвід роботи: Без досвіду роботи, Від 1 до 3 років",False,False,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-grafchnogo-dizaynera-IDVIeFE.html
Тестувальник ігор,15 000 - 25 000 грн. / за місяць,"Львів, Галицький",Часткова зайнятість,Гнучкий графік,"Підходить кандидатам: Зі статусом УБД, В декреті, З інвалідністю, Молодше 18 років, Пенсійного віку, Студентам, Старше 45 років",,"Досвід роботи: Від 3 до 6 років, Без досвіду роботи, Від 1 до 3 років, Більше 6 років",False,False,https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-gor-IDVMtHf.html
Trainee Front-End Developer,28 000 - 34 000 грн. / за місяць,"Київ, Шевченківський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-developer-IDVdUm8.html
Тестирование мобильной игры на ios,300 - 600 грн. / за годину,"Одеса, Київський",Часткова зайнятість,Гнучкий графік,,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/testirovanie-mobilnoy-igry-na-ios-IDVKWp8.html
Тестувальник мобільних ігор (junior),20 000 - 25 000 грн. / за місяць,"Київ, Печерський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,"Досвід роботи: Без досвіду роботи, Від 1 до 3 років",False,False,https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-moblnih-gor-junior-IDVbhbu.html
Trainee Mobile Developer (повне навчання),20 000 - 25 000 грн. / за місяць,"Київ, Шевченківський",Повна зайнятість,Повний робочий день,Підходить кандидатам: Студентам,,Досвід роботи: Без досвіду роботи,False,False,https://www.olx.ua/uk/obyavlenie/rabota/trainee-mobile-developer-povne-navchannya-IDVit6L.html
Провідний майстер з ремонту техніки (мультибренд),40 000 - 60 000 грн. / за місяць,"Львів, Шевченківський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Від 1 до 3 років,False,False,https://www.olx.ua/uk/obyavlenie/rabota/provdniy-mayster-z-remontu-tehnki-multibrend-IDVHdZ4.html
Майстер з ремонту кондиціонерів (кондиціонерщик),50 000 - 100 000 грн. / за місяць,"Київ, Шевченківський",Повна зайнятість,Повний робочий день,,,Досвід роботи: Від 3 до 6 років,False,False,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-konditsonerv-konditsonerschik-IDUUKxV.html
